Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
330, ,0.012328467394420659,6.579332246575682e-10,None,None,None,None, , , , 
331, ,0.012328467394420659,7.564633275546291e-10,None,None,None,None, , , , 
332, ,0.012328467394420659,8.697490026177835e-10,None,None,None,None, , , , 
333, ,0.012328467394420659,1e-09,None,None,None,None, , , , 
334, ,0.012328467394420659,1.1497569953977357e-09,None,None,None,None, , , , 
335, ,0.012328467394420659,1.3219411484660288e-09,None,None,None,None, , , , 
336, ,0.012328467394420659,1.519911082952933e-09,None,None,None,None, , , , 
337, ,0.012328467394420659,1.747528400007683e-09,None,None,None,None, , , , 
338, ,0.012328467394420659,2.009233002565046e-09,None,None,None,None, , , , 
339, ,0.012328467394420659,2.310129700083158e-09,None,None,None,None, , , , 
340, ,0.012328467394420659,2.656087782946684e-09,None,None,None,None, , , , 
341, ,0.012328467394420659,3.0538555088334124e-09,None,None,None,None, , , , 
342, ,0.012328467394420659,3.5111917342151277e-09,None,None,None,None, , , , 
343, ,0.012328467394420659,4.0370172585965495e-09,None,None,None,None, , , , 
344, ,0.012328467394420659,4.641588833612792e-09,None,None,None,None, , , , 
345, ,0.012328467394420659,5.336699231206302e-09,None,None,None,None, , , , 
346, ,0.012328467394420659,6.135907273413188e-09,None,None,None,None, , , , 
347, ,0.012328467394420659,7.054802310718632e-09,None,None,None,None, , , , 
348, ,0.012328467394420659,8.111308307896891e-09,None,None,None,None, , , , 
349, ,0.012328467394420659,9.32603346883218e-09,None,None,None,None, , , , 
350, ,0.012328467394420659,1.0722672220103233e-08,None,None,None,None, , , , 
351, ,0.012328467394420659,1.232846739442066e-08,None,None,None,None, , , , 
352, ,0.012328467394420659,1.4174741629268047e-08,None,None,None,None, , , , 
353, ,0.012328467394420659,1.6297508346206466e-08,None,None,None,None, , , , 
354, ,0.012328467394420659,1.8738174228603867e-08,None,None,None,None, , , , 
355, ,0.012328467394420659,2.1544346900318866e-08,None,None,None,None, , , , 
356, ,0.012328467394420659,2.4770763559917138e-08,None,None,None,None, , , , 
357, ,0.012328467394420659,2.8480358684358055e-08,None,None,None,None, , , , 
358, ,0.012328467394420659,3.274549162877732e-08,None,None,None,None, , , , 
359, ,0.012328467394420659,3.764935806792472e-08,None,None,None,None, , , , 
360, ,0.012328467394420659,4.328761281083061e-08,None,None,None,None, , , , 
361, ,0.012328467394420659,4.9770235643321133e-08,None,None,None,None, , , , 
362, ,0.012328467394420659,5.72236765935022e-08,None,None,None,None, , , , 
363, ,0.012328467394420659,6.579332246575682e-08,None,None,None,None, , , , 
364, ,0.012328467394420659,7.56463327554629e-08,None,None,None,None, , , , 
365, ,0.012328467394420659,8.697490026177834e-08,None,None,None,None, , , , 
366, ,0.012328467394420659,1e-07,None,None,None,None, , , , 
367, ,0.012328467394420659,1.1497569953977356e-07,None,None,None,None, , , , 
368, ,0.012328467394420659,1.3219411484660288e-07,None,None,None,None, , , , 
369, ,0.012328467394420659,1.519911082952933e-07,None,None,None,None, , , , 
370, ,0.012328467394420659,1.7475284000076832e-07,None,None,None,None, , , , 
371, ,0.012328467394420659,2.0092330025650461e-07,None,None,None,None, , , , 
372, ,0.012328467394420659,2.310129700083158e-07,None,None,None,None, , , , 
373, ,0.012328467394420659,2.6560877829466897e-07,None,None,None,None, , , , 
374, ,0.012328467394420659,3.0538555088334193e-07,None,None,None,None, , , , 
375, ,0.012328467394420659,3.511191734215134e-07,None,None,None,None, , , , 
376, ,0.012328467394420659,4.0370172585965576e-07,None,None,None,None, , , , 
377, ,0.012328467394420659,4.6415888336127826e-07,None,None,None,None, , , , 
