Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
117, ,0.01,3.370064329271925e-08,2.31058607952e+18,5.24345943144e-48,1.15529303976e+18,1.5217229098e+13, , , , 
118, ,0.01,3.612342699709431e-08,2.65475018709e+18,5.24345943144e-48,1.32737509354e+18,1.9827559841e+13, , , , 
119, ,0.01,3.8720387818125565e-08,3.0501778827e+18,5.24345943144e-48,1.52508894135e+18,2.57844877527e+13, , , , 
120, ,0.01,4.1504047578504727e-08,3.50450492908e+18,5.24345943144e-48,1.75225246454e+18,3.34562694372e+13, , , , 
121, ,0.01,4.448782831127585e-08,4.02650444343e+18,5.24345943144e-48,2.01325222171e+18,4.32993889353e+13, , , , 
122, ,0.01,4.768611697714474e-08,4.62625630753e+18,5.24345943144e-48,2.31312815377e+18,5.58734164608e+13, , , , 
123, ,0.01,5.111433483440165e-08,5.31534181166e+18,5.24345943144e-48,2.65767090583e+18,7.18550206484e+13, , , , 
124, ,0.01,5.478901179593934e-08,6.10706729085e+18,5.24345943144e-48,3.05353364542e+18,9.20488247603e+13, , , , 
125, ,0.01,5.872786613189478e-08,7.01672107203e+18,5.24345943144e-48,3.50836053601e+18,1.17391533406e+14, , , , 
126, ,0.01,6.294988990221888e-08,8.06186869374e+18,5.24345943144e-48,4.03093434687e+18,1.48944115151e+14, , , , 
127, ,0.01,6.747544053110687e-08,9.26269209905e+18,5.24345943144e-48,4.63134604953e+18,1.87864843755e+14, , , , 
128, ,0.01,7.232633896483534e-08,1.06423793516e+19,5.24345943144e-48,5.32118967582e+18,2.35353849137e+14, , , , 
129, ,0.01,7.752597488629465e-08,1.22275724004e+19,5.24345943144e-48,6.11378620022e+18,2.92557915075e+14, , , , 
130, ,0.01,8.309941949353386e-08,1.40488815393e+19,5.24345943144e-48,7.02444076967e+18,3.60423351656e+14, , , , 
131, ,0.01,8.907354638610439e-08,1.61414764961e+19,5.24345943144e-48,8.07073824807e+18,4.39486126127e+14, , , , 
132, ,0.01,9.547716114208066e-08,1.85457655647e+19,5.24345943144e-48,9.27288278237e+18,5.29593886678e+14, , , , 
133, ,0.01,1.0234114021054528e-07,2.13081758948e+19,5.24345943144e-48,1.06540879474e+19,6.29566367819e+14, , , , 
134, ,0.01,1.0969857978923841e-07,2.44820500066e+19,5.24345943144e-48,1.22410250033e+19,7.36821247551e+14, , , , 
135, ,0.01,1.1758495540521555e-07,2.81286758417e+19,5.24345943144e-48,1.40643379208e+19,8.47023086833e+14, , , , 
136, ,0.01,1.2603829296797277e-07,3.23184702422e+19,5.24345943144e-48,1.61592351211e+19,9.5385175192e+14, , , , 
137, ,0.01,1.350993521198025e-07,3.71323387093e+19,5.24345943144e-48,1.85661693547e+19,1.04902613378e+15, , , , 
138, ,0.01,1.4481182276745328e-07,4.26632376994e+19,5.24345943144e-48,2.13316188497e+19,1.12274279938e+15, , , , 
139, ,0.01,1.552225357427048e-07,4.90179696259e+19,5.24345943144e-48,2.4508984813e+19,1.16467154757e+15, , , , 
140, ,0.01,1.6638168860761273e-07,5.63192452289e+19,5.24345943144e-48,2.81596226144e+19,1.16555960758e+15, , , , 
141, ,0.01,1.7834308769319093e-07,6.47080531355e+19,5.24345943144e-48,3.23540265677e+19,1.11931127282e+15, , , , 
142, ,0.01,1.9116440753857e-07,7.43463823702e+19,5.24345943144e-48,3.71731911851e+19,1.02514248105e+15, , , , 
143, ,0.01,2.049074689815846e-07,8.54203503845e+19,5.24345943144e-48,4.27101751923e+19,8.89137001672e+14, , , , 
144, ,0.01,2.1963853724165468e-07,9.81437970107e+19,5.24345943144e-48,4.90718985053e+19,7.24405451687e+14, , , , 
145, ,0.01,2.3542864143224158e-07,1.12762413738e+20,5.24345943144e-48,5.63812068688e+19,5.49257629118e+14, , , , 
146, ,0.01,2.523539170434766e-07,1.29558488047e+20,5.24345943144e-48,6.47792440237e+19,3.834438709e+14, , , , 
147, ,0.01,2.7049597304631316e-07,1.48856354425e+20,5.24345943144e-48,7.44281772124e+19,2.43453566122e+14, , , , 
148, ,0.01,2.899422853882875e-07,1.71028657301e+20,5.24345943144e-48,8.55143286503e+19,1.38605557886e+14, , , , 
149, ,0.01,3.107866187782014e-07,1.96503546866e+20,5.24345943144e-48,9.82517734331e+19,6.96213610518e+13, , , , 
150, ,0.01,3.33129478793467e-07,2.25772946712e+20,5.24345943144e-48,1.12886473356e+20,3.028296572e+13, , , , 
151, ,0.01,3.5707859649004626e-07,2.5940205294e+20,5.24345943144e-48,1.2970102647e+20,1.11644673048e+13, , , , 
152, ,0.01,3.827494478516307e-07,2.98040248176e+20,5.24345943144e-48,1.49020124088e+20,3.40380133706e+12, , , , 
153, ,0.01,4.1026581058271904e-07,3.42433641238e+20,5.24345943144e-48,1.71216820619e+20,834231427124.0, , , , 
154, ,0.01,4.397603609302722e-07,3.93439474599e+20,5.24345943144e-48,1.96719737299e+20,159105027747.0, , , , 
155, ,0.01,4.7137531341167185e-07,4.52042677853e+20,5.24345943144e-48,2.26021338927e+20,22747401404.8, , , , 
156, ,0.01,5.052631065335679e-07,5.19374886847e+20,5.24345943144e-48,2.59687443423e+20,2335549477.79, , , , 
157, ,0.01,5.415871378079465e-07,5.96736295715e+20,5.24345943144e-48,2.98368147857e+20,163922282.552, , , , 
158, ,0.01,5.805225516094896e-07,6.85620763809e+20,5.24345943144e-48,3.42810381905e+20,7431399.4341, , , , 
159, ,0.01,6.222570836730232e-07,7.87744662328e+20,5.24345943144e-48,3.93872331164e+20,203898.28951, , , , 
160, ,0.01,6.669919663030115e-07,9.05080017674e+20,5.24345943144e-48,4.52540008837e+20,3141.82694213, , , , 
161, ,0.01,7.149428986597576e-07,1.03989259156e+21,5.24345943144e-48,5.19946295778e+20,24.9490117927, , , , 
162, ,0.01,7.663410868007445e-07,1.19478563316e+21,5.24345943144e-48,5.97392816578e+20,0.0925005300068, , , , 
163, ,0.01,8.214343584919422e-07,1.37275014822e+21,5.24345943144e-48,6.86375074112e+20,0.000142950224716, , , , 
164, ,0.01,8.804883581643463e-07,1.57722265581e+21,5.24345943144e-48,7.88611327905e+20,8.08288421698e-08, , , , 
165, ,0.01,9.437878277775371e-07,1.81215154791e+21,5.24345943144e-48,9.06075773955e+20,1.43962033044e-11, , , , 
166, ,0.01,1.0116379797662072e-06,2.08207333346e+21,5.24345943144e-48,1.04103666673e+21,6.79987609521e-16, , , , 
167, ,0.01,1.0843659686896086e-06,2.39220023894e+21,5.24345943144e-48,1.19610011947e+21,6.98981775675e-21, , , , 
168, ,0.01,1.162322468679852e-06,2.74852085718e+21,5.24345943144e-48,1.37426042859e+21,1.24593124918e-26, , , , 
169, ,0.01,1.245883364295008e-06,3.1579157879e+21,5.24345943144e-48,1.57895789395e+21,2.96649382407e-33, , , , 
170, ,0.01,1.3354515629298971e-06,3.62829050301e+21,5.24345943144e-48,1.81414525151e+21,6.99019530836e-41, , , , 
171, ,0.01,1.4314589375234786e-06,4.1687280024e+21,5.24345943144e-48,2.0843640012e+21,1.15507434337e-49, , , , 
172, ,0.01,1.53436840893001e-06,4.78966420787e+21,5.24345943144e-48,2.39483210394e+21,9.00943014066e-60, , , , 
173, ,0.01,1.644676177994663e-06,5.5030894822e+21,5.24345943144e-48,2.7515447411e+21,2.10492981196e-71, , , , 
174, ,0.01,1.762914118095948e-06,6.32278016469e+21,5.24345943144e-48,3.16139008234e+21,8.73568851784e-85, , , , 
175, ,0.01,1.8896523396912082e-06,7.26456459418e+21,5.24345943144e-48,3.63228229709e+21,3.53297247716e-100, , , , 
176, ,0.01,2.0255019392306664e-06,8.34662875641e+21,5.24345943144e-48,4.17331437821e+21,6.98545291309e-118, , , , 
177, ,0.01,2.171117945694501e-06,9.58986745787e+21,5.24345943144e-48,4.79493372894e+21,3.0567940933e-138, , , , 
178, ,0.01,2.3272024789604077e-06,1.10182878074e+22,5.24345943144e-48,5.50914390369e+21,1.1909493832e-161, , , , 
179, ,0.01,2.494508135230317e-06,1.26594727966e+22,5.24345943144e-48,6.32973639832e+21,1.45114184563e-188, , , , 
180, ,0.01,2.673841615839944e-06,1.45451139316e+22,5.24345943144e-48,7.27255696578e+21,1.66215590773e-219, , , , 
181, ,0.01,2.8660676169482507e-06,1.67116231995e+22,5.24345943144e-48,8.35581159975e+21,4.49755173956e-255, , , , 
182, ,0.01,3.0721129988617532e-06,1.92008361898e+22,5.24345943144e-48,9.60041809491e+21,5.88138305099e-296, , , , 
183, ,0.01,3.292971255097148e-06,2.20608199447e+22,5.24345943144e-48,1.10304099724e+22,0.0, , , , 
184, ,0.01,3.5297073027306505e-06,2.53468011404e+22,5.24345943144e-48,1.26734005702e+22,0.0, , , , 
185, ,0.01,3.783462617131925e-06,2.91222325219e+22,5.24345943144e-48,1.45611162609e+22,0.0, , , , 
186, ,0.01,4.0554607358408275e-06,3.34600181837e+22,5.24345943144e-48,1.67300090918e+22,0.0, , , , 
