Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,BranchingRatioFile,Resolution,Kappa0
3106, ,0.4593695057977398,1.2433534237775991e-08,5075075027.61,2.50220117673e-45,552451546.366,304.753758837, , , 
3107, ,0.4593695057977398,1.4526539259467813e-08,6927517031.49,2.50220117673e-45,974801423.469,43.4993595266, , , 
3108, ,0.4593695057977398,1.697187129752137e-08,9456114827.97,2.50220117673e-45,1691752879.6,2.17705492715, , , 
3109, ,0.4593695057977398,1.9828839491270715e-08,12907670559.8,2.50220117673e-45,2876880124.89,0.0261198152003, , , 
3110, ,0.4593695057977398,2.3166736812810894e-08,17619071078.4,2.50220117673e-45,4775460484.64,4.47657243174e-05, , , 
3111, ,0.4593695057977398,2.706652070033241e-08,24050169566.1,2.50220117673e-45,7711729093.2,5.41604752129e-09, , , 
3112, ,0.4593695057977398,3.162277660168379e-08,32828669206.5,2.50220117673e-45,12087213547.0,1.77145001333e-14, , , 
3113, ,0.4593695057977398,3.6946012051993016e-08,44811389745.4,2.50220117673e-45,18376638442.3,4.23622063504e-22, , , 
3114, ,0.4593695057977398,4.316533692595901e-08,61167896824.7,2.50220117673e-45,27140075437.4,1.24579491327e-32, , , 
3115, ,0.4593695057977398,5.043159487171358e-08,83494656675.7,2.50220117673e-45,39075614996.2,3.9594613448e-47, , , 
3116, ,0.4593695057977398,5.892102187612295e-08,113970858167.0,2.50220117673e-45,55127269881.8,4.92124343375e-67, , , 
3117, ,0.4593695057977398,6.88395206964551e-08,155571111117.0,2.50220117673e-45,76643261540.3,2.57393904548e-94, , , 
3118, ,0.4593695057977398,8.042765483057629e-08,212355781148.0,2.50220117673e-45,105567677766.0,1.16295707442e-131, , , 
3119, ,0.4593695057977398,9.396648314954711e-08,289867299032.0,2.50220117673e-45,144656222283.0,9.70457460429e-183, , , 
3120, ,0.4593695057977398,1.0978437670592484e-07,395671126041.0,2.50220117673e-45,197730906087.0,1.45879688798e-252, , , 
3121, ,0.4593695057977398,1.2826498305280627e-07,540094175870.0,2.50220117673e-45,270015311409.0,0.0, , , 
3122, ,0.4593695057977398,1.4985653124037573e-07,737232766333.0,2.50220117673e-45,368608893323.0,0.0, , , 
3123, ,0.4593695057977398,1.7508270317357268e-07,1.00632848129e+12,2.50220117673e-45,503162927182.0,0.0, , , 
3124, ,0.4593695057977398,2.045553350050195e-07,1.37364623291e+12,2.50220117673e-45,686822953396.0,0.0, , , 
3125, ,0.4593695057977398,2.3898925662310533e-07,1.87503783135e+12,2.50220117673e-45,937518902154.0,0.0, , , 
3126, ,0.4593695057977398,2.792196291524867e-07,2.55944127736e+12,2.50220117673e-45,1.27972063798e+12,0.0, , , 
3127, ,0.4593695057977398,3.262222009711673e-07,3.49365732399e+12,2.50220117673e-45,1.74682866198e+12,0.0, , , 
3128, ,0.4593695057977398,3.8113697353402724e-07,4.76886952065e+12,2.50220117673e-45,2.38443476032e+12,0.0, , , 
3129, ,0.4593695057977398,4.4529585099426604e-07,6.50954412408e+12,2.50220117673e-45,3.25477206204e+12,0.0, , , 
3130, ,0.4593695057977398,5.202549442372686e-07,8.88557854643e+12,2.50220117673e-45,4.44278927321e+12,0.0, , , 
3131, ,0.4593695057977398,6.078323128297237e-07,1.21288840816e+13,2.50220117673e-45,6.06444204078e+12,0.0, , , 
3132, ,0.4593695057977398,7.101520602780344e-07,1.6556021456e+13,2.50220117673e-45,8.278010728e+12,0.0, , , 
3133, ,0.4593695057977398,8.296958520834915e-07,2.25990985328e+13,2.50220117673e-45,1.12995492664e+13,0.0, , , 
3134, ,0.4593695057977398,9.693631061142522e-07,3.08479459182e+13,2.50220117673e-45,1.54239729591e+13,0.0, , , 
3135, ,0.4593695057977398,1.1325413151528126e-06,4.21076869942e+13,2.50220117673e-45,2.10538434971e+13,0.0, , , 
3136, ,0.4593695057977398,1.323188207223646e-06,5.74773214627e+13,2.50220117673e-45,2.87386607313e+13,0.0, , , 
3137, ,0.4593695057977398,1.5459277364194788e-06,7.84569924959e+13,2.50220117673e-45,3.9228496248e+13,0.0, , , 
3138, ,0.4593695057977398,1.8061622323899017e-06,1.07094407235e+14,2.50220117673e-45,5.35472036175e+13,0.0, , , 
3139, ,0.4593695057977398,2.110203428568597e-06,1.46184701913e+14,2.50220117673e-45,7.30923509566e+13,0.0, , , 
3140, ,0.4593695057977398,2.4654255471007907e-06,1.99543259309e+14,2.50220117673e-45,9.97716296546e+13,0.0, , , 
3141, ,0.4593695057977398,2.8804441533962983e-06,2.72378106701e+14,2.50220117673e-45,1.3618905335e+14,0.0, , , 
3142, ,0.4593695057977398,3.365325118250557e-06,3.71798241979e+14,2.50220117673e-45,1.85899120989e+14,0.0, , , 
3143, ,0.4593695057977398,3.93182875570577e-06,5.07507502761e+14,2.50220117673e-45,2.53753751381e+14,0.0, , , 
3144, ,0.4593695057977398,4.593695057977397e-06,6.92751703149e+14,2.50220117673e-45,3.46375851575e+14,0.0, , , 
3145, ,0.4593695057977398,5.366976945540477e-06,9.45611482797e+14,2.50220117673e-45,4.72805741399e+14,0.0, , , 
3146, ,0.4593695057977398,6.270429615030992e-06,1.29076705598e+15,2.50220117673e-45,6.45383527989e+14,0.0, , , 
3147, ,0.4593695057977398,7.3259654282152296e-06,1.76190710784e+15,2.50220117673e-45,8.80953553921e+14,0.0, , , 
3148, ,0.4593695057977398,8.55918537491462e-06,2.40501695661e+15,2.50220117673e-45,1.20250847831e+15,0.0, , , 
3149, ,0.4593695057977398,1e-05,3.28286692065e+15,2.50220117673e-45,1.64143346033e+15,0.0, , , 
3150, ,0.5043159487171361,1e-10,225990.989678,4.85364678745e-46,0.249607725396,2.63218926143e-08, , , 
3151, ,0.5043159487171361,1.168335485443295e-10,308479.46512,4.85364678745e-46,0.465080423775,6.69299231499e-08, , , 
3152, ,0.5043159487171361,1.3650078065460138e-10,421076.878048,4.85364678745e-46,0.866558748521,1.70171269478e-07, , , 
3153, ,0.5043159487171361,1.5947870582948242e-10,574773.225692,4.85364678745e-46,1.61461077512,4.32614663373e-07, , , 
3154, ,0.5043159487171361,1.86324631193156e-10,784569.940063,4.85364678745e-46,3.00841345903,1.09963038439e-06, , , 
3155, ,0.5043159487171361,2.176896784350988e-10,1070944.09297,4.85364678745e-46,5.60540482175,2.79445653176e-06, , , 
3156, ,0.5043159487171361,2.543345761304649e-10,1461847.04727,4.85364678745e-46,10.4442232563,7.09934838329e-06, , , 
3157, ,0.5043159487171361,2.9714811046840127e-10,1995432.63151,4.85364678745e-46,19.4600927987,1.80286353406e-05, , , 
3158, ,0.5043159487171361,3.4716868189265595e-10,2723781.11944,4.85364678745e-46,36.2587740438,4.57578842897e-05, , , 
3159, ,0.5043159487171361,4.056094904897649e-10,3717982.49136,4.85364678745e-46,67.5585893238,0.000116048534836, , , 
3160, ,0.5043159487171361,4.738879609717651e-10,5075075.12531,4.85364678745e-46,125.877179218,0.000294011159606, , , 
3161, ,0.5043159487171361,5.536601209276803e-10,6927517.16485,4.85364678745e-46,234.537358787,0.000743831041261, , , 
3162, ,0.5043159487171361,6.468607661546321e-10,9456115.01001,4.85364678745e-46,436.993668357,0.00187822283796, , , 
3163, ,0.5043159487171361,7.557503872394938e-10,12907670.8083,4.85364678745e-46,814.20852837,0.00473016747276, , , 
3164, ,0.5043159487171361,8.829699955494082e-10,17619071.4176,4.85364678745e-46,1517.02446463,0.0118698475917, , , 
3165, ,0.5043159487171361,1.0316051783820818e-09,24050170.0291,4.85364678745e-46,2826.47179491,0.0296403479946, , , 
3166, ,0.5043159487171361,1.2052609368708416e-09,32828669.8385,4.85364678745e-46,5266.11192915,0.0735213285379, , , 
3167, ,0.5043159487171361,1.4081491217648349e-09,44811390.6081,4.85364678745e-46,9811.29761552,0.180706512923, , , 
3168, ,0.5043159487171361,1.6451905877536607e-09,61167898.0022,4.85364678745e-46,18278.9161629,0.438647588814, , , 
3169, ,0.5043159487171361,1.9221345439899134e-09,83494658.283,4.85364678745e-46,34053.169917,1.04679435103, , , 
3170, ,0.5043159487171361,2.2456979955397722e-09,113970860.361,4.85364678745e-46,63436.8492151,2.44068070835, , , 
3171, ,0.5043159487171361,2.623728657777993e-09,155571114.112,4.85364678745e-46,118166.457115,5.51289119877, , , 
3172, ,0.5043159487171361,3.065395295056524e-09,212355785.236,4.85364678745e-46,220091.826332,11.9243995785, , , 
3173, ,0.5043159487171361,3.581410100125456e-09,289867304.612,4.85364678745e-46,409878.436903,24.3117379382, , , 
3174, ,0.5043159487171361,4.184288507901576e-09,395671133.658,4.85364678745e-46,763178.936199,45.7241252167, , , 
3175, ,0.5043159487171361,4.8886527451139865e-09,540094186.268,4.85364678745e-46,1420655.53172,77.0249229108, , , 
3176, ,0.5043159487171361,5.711586478126423e-09,737232780.526,4.85364678745e-46,2643642.70703,111.637613478, , , 
3177, ,0.5043159487171361,6.6730491605731925e-09,1006328500.66,4.85364678745e-46,4917161.62067,131.778990126, , , 
3178, ,0.5043159487171361,7.79636013040522e-09,1373646259.35,4.85364678745e-46,9140097.49178,117.544072394, , , 
3179, ,0.5043159487171361,9.108764197647733e-09,1875037867.44,4.85364678745e-46,16975108.586,71.5255094297, , , 
3180, ,0.5043159487171361,1.0642092440647247e-08,2559441326.63,4.85364678745e-46,31489467.9415,25.8228103394, , , 
3181, ,0.5043159487171361,1.2433534237775991e-08,3493657391.25,4.85364678745e-46,58321371.709,4.57171390614, , , 
3182, ,0.5043159487171361,1.4526539259467813e-08,4768869612.45,4.85364678745e-46,107784398.876,0.306011547008, , , 
3183, ,0.5043159487171361,1.697187129752137e-08,6509544249.4,4.85364678745e-46,198620346.53,0.00543011836798, , , 
3184, ,0.5043159487171361,1.9828839491270715e-08,8885578717.48,4.85364678745e-46,364584679.962,1.57348233469e-05, , , 
3185, ,0.5043159487171361,2.3166736812810894e-08,12128884315.0,4.85364678745e-46,665750298.327,3.84305818526e-09, , , 
3186, ,0.5043159487171361,2.706652070033241e-08,16556021774.7,4.85364678745e-46,1207330056.05,3.20803062617e-14, , , 
3187, ,0.5043159487171361,3.162277660168379e-08,22599098967.8,4.85364678745e-46,2169731990.35,2.66999698059e-21, , , 
3188, ,0.5043159487171361,3.6946012051993016e-08,30847946512.0,4.85364678745e-46,3853826538.1,4.12367489503e-31, , , 
3189, ,0.5043159487171361,4.316533692595901e-08,42107687804.8,4.85364678745e-46,6743710268.3,1.19128450524e-44, , , 
3190, ,0.5043159487171361,5.043159487171358e-08,57477322569.2,4.85364678745e-46,11583814748.5,2.81015489738e-63, , , 
3191, ,0.5043159487171361,5.892102187612295e-08,78456994006.3,4.85364678745e-46,19457324996.8,7.54287380492e-89, , , 
3192, ,0.5043159487171361,6.88395206964551e-08,107094409297.0,4.85364678745e-46,31842533332.5,6.75801412119e-124, , , 
3193, ,0.5043159487171361,8.042765483057629e-08,146184704727.0,4.85364678745e-46,50625285394.7,7.07042017019e-172, , , 
3194, ,0.5043159487171361,9.396648314954711e-08,199543263151.0,4.85364678745e-46,78075538961.6,1.65897780949e-237, , , 
3195, ,0.5043159487171361,1.0978437670592484e-07,272378111944.0,4.85364678745e-46,116855222454.0,0.0, , , 
3196, ,0.5043159487171361,1.2826498305280627e-07,371798249136.0,4.85364678745e-46,170177032261.0,0.0, , , 
3197, ,0.5043159487171361,1.4985653124037573e-07,507507512531.0,4.85364678745e-46,242223371625.0,0.0, , , 
3198, ,0.5043159487171361,1.7508270317357268e-07,692751716485.0,4.85364678745e-46,338849221055.0,0.0, , , 
3199, ,0.5043159487171361,2.045553350050195e-07,945611501001.0,4.85364678745e-46,468500194698.0,0.0, , , 
3200, ,0.5043159487171361,2.3898925662310533e-07,1.29076708083e+12,4.85364678745e-46,643265634564.0,0.0, , , 
3201, ,0.5043159487171361,2.792196291524867e-07,1.76190714176e+12,4.85364678745e-46,880078222260.0,0.0, , , 
3202, ,0.5043159487171361,3.262222009711673e-07,2.40501700291e+12,4.85364678745e-46,1.20221290866e+12,0.0, , , 
3203, ,0.5043159487171361,3.8113697353402724e-07,3.28286698385e+12,4.85364678745e-46,1.64135461614e+12,0.0, , , 
3204, ,0.5043159487171361,4.4529585099426604e-07,4.48113906081e+12,4.85364678745e-46,2.24055354139e+12,0.0, , , 
3205, ,0.5043159487171361,5.202549442372686e-07,6.11678980022e+12,4.85364678745e-46,3.05839254904e+12,0.0, , , 
3206, ,0.5043159487171361,6.078323128297237e-07,8.3494658283e+12,4.85364678745e-46,4.17473267657e+12,0.0, , , 
3207, ,0.5043159487171361,7.101520602780344e-07,1.13970860361e+13,4.85364678745e-46,5.69854300257e+12,0.0, , , 
3208, ,0.5043159487171361,8.296958520834915e-07,1.55571114112e+13,4.85364678745e-46,7.77855570499e+12,0.0, , , 
3209, ,0.5043159487171361,9.693631061142522e-07,2.12355785236e+13,4.85364678745e-46,1.06177892618e+13,0.0, , , 
3210, ,0.5043159487171361,1.1325413151528126e-06,2.89867304612e+13,4.85364678745e-46,1.44933652306e+13,0.0, , , 
3211, ,0.5043159487171361,1.323188207223646e-06,3.95671133658e+13,4.85364678745e-46,1.97835566829e+13,0.0, , , 
3212, ,0.5043159487171361,1.5459277364194788e-06,5.40094186268e+13,4.85364678745e-46,2.70047093134e+13,0.0, , , 
3213, ,0.5043159487171361,1.8061622323899017e-06,7.37232780526e+13,4.85364678745e-46,3.68616390263e+13,0.0, , , 
3214, ,0.5043159487171361,2.110203428568597e-06,1.00632850066e+14,4.85364678745e-46,5.03164250329e+13,0.0, , , 
3215, ,0.5043159487171361,2.4654255471007907e-06,1.37364625935e+14,4.85364678745e-46,6.86823129675e+13,0.0, , , 
3216, ,0.5043159487171361,2.8804441533962983e-06,1.87503786744e+14,4.85364678745e-46,9.37518933722e+13,0.0, , , 
3217, ,0.5043159487171361,3.365325118250557e-06,2.55944132663e+14,4.85364678745e-46,1.27972066332e+14,0.0, , , 
3218, ,0.5043159487171361,3.93182875570577e-06,3.49365739125e+14,4.85364678745e-46,1.74682869562e+14,0.0, , , 
3219, ,0.5043159487171361,4.593695057977397e-06,4.76886961245e+14,4.85364678745e-46,2.38443480623e+14,0.0, , , 
3220, ,0.5043159487171361,5.366976945540477e-06,6.5095442494e+14,4.85364678745e-46,3.2547721247e+14,0.0, , , 
3221, ,0.5043159487171361,6.270429615030992e-06,8.88557871748e+14,4.85364678745e-46,4.44278935874e+14,0.0, , , 
3222, ,0.5043159487171361,7.3259654282152296e-06,1.2128884315e+15,4.85364678745e-46,6.06444215752e+14,0.0, , , 
3223, ,0.5043159487171361,8.55918537491462e-06,1.65560217747e+15,4.85364678745e-46,8.27801088736e+14,0.0, , , 
3224, ,0.5043159487171361,1e-05,2.25990989678e+15,4.85364678745e-46,1.12995494839e+15,0.0, , , 
3225, ,0.5536601209276798,1e-10,155571.117721,1.1814012063e-46,0.0287914470205,4.09067237041e-09, , , 
3226, ,0.5536601209276798,1.168335485443295e-10,212355.790163,1.1814012063e-46,0.0536455526444,1.04007022141e-08, , , 
3227, ,0.5536601209276798,1.3650078065460138e-10,289867.311337,1.1814012063e-46,0.0999548658272,2.64411572737e-08, , , 
3228, ,0.5536601209276798,1.5947870582948242e-10,395671.142838,1.1814012063e-46,0.186240503857,6.72093628804e-08, , , 
3229, ,0.5536601209276798,1.86324631193156e-10,540094.198799,1.1814012063e-46,0.347011852452,1.70799118103e-07, , , 
3230, ,0.5536601209276798,2.176896784350988e-10,737232.797631,1.1814012063e-46,0.646568352101,4.33924205928e-07, , , 
3231, ,0.5536601209276798,2.543345761304649e-10,1006328.52401,1.1814012063e-46,1.20471558326,1.10196542024e-06, , , 
3232, ,0.5536601209276798,2.9714811046840127e-10,1373646.29122,1.1814012063e-46,2.24468055964,2.79694753613e-06, , , 
3233, ,0.5536601209276798,3.4716868189265595e-10,1875037.91095,1.1814012063e-46,4.18238944803,7.09375464081e-06, , , 
3234, ,0.5536601209276798,4.056094904897649e-10,2559441.38602,1.1814012063e-46,7.7928132545,1.79731850593e-05, , , 
3235, ,0.5536601209276798,4.738879609717651e-10,3493657.47231,1.1814012063e-46,14.5199090404,4.5474641648e-05, , , 
3236, ,0.5536601209276798,5.536601209276803e-10,4768869.7231,1.1814012063e-46,27.0541122475,0.000114838677262, , , 
3237, ,0.5536601209276798,6.468607661546321e-10,6509544.40043,1.1814012063e-46,50.4083356924,0.000289254735529, , , 
3238, ,0.5536601209276798,7.557503872394938e-10,8885578.92365,1.1814012063e-46,93.9227916004,0.000725997217424, , , 
3239, ,0.5536601209276798,8.829699955494082e-10,12128884.5965,1.1814012063e-46,175.000394797,0.00181338617895, , , 
3240, ,0.5536601209276798,1.0316051783820818e-09,16556022.1589,1.1814012063e-46,326.066550547,0.00449966636289, , , 
3241, ,0.5536601209276798,1.2052609368708416e-09,22599099.4922,1.1814012063e-46,607.536474472,0.0110651963043, , , 
