Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,Kappa0
2157, ,4.291934260128778,5.179474679231202e-10,90301.8749383,2.98020646872e-47,0.00244707972328,4.85670766481e-08, 
2158, ,4.291934260128778,6.551285568595495e-10,144470.242017,2.98020646872e-47,0.00626341768665,2.73279452059e-08, 
2159, ,4.291934260128778,8.28642772854686e-10,231131.976414,2.98020646872e-47,0.016031517173,4.67526089444e-09, 
2160, ,4.291934260128778,1.0481131341546874e-09,369778.507846,2.98020646872e-47,0.0410334342014,1.19061666562e-10, 
2161, ,4.291934260128778,1.3257113655901108e-09,591593.3701,2.98020646872e-47,0.10502703195,1.4397349103e-13, 
2162, ,4.291934260128778,1.6768329368110098e-09,946465.811616,2.98020646872e-47,0.268821683284,1.32877458662e-18, 
2163, ,4.291934260128778,2.1209508879201927e-09,1514211.58152,2.98020646872e-47,0.688061824721,5.02542181777e-27, 
2164, ,4.291934260128778,2.6826957952797275e-09,2422524.60203,2.98020646872e-47,1.7611265741,7.23530148776e-41, 
2165, ,4.291934260128778,3.393221771895329e-09,3875697.10801,2.98020646872e-47,4.50768524336,2.22540043927e-63, 
2166, ,4.291934260128778,4.291934260128778e-09,6200567.81281,2.98020646872e-47,11.5376256681,9.20566991447e-100, 
2167, ,4.291934260128778,5.4286754393238595e-09,9920032.48183,2.98020646872e-47,29.5310618624,2.44671174269e-158, 
2168, ,4.291934260128778,6.866488450042997e-09,15870650.4648,2.98020646872e-47,75.585988077,2.0364444421e-252, 
2169, ,4.291934260128778,8.68511373751352e-09,25390798.532,2.98020646872e-47,193.465221817,0.0, 
2170, ,4.291934260128778,1.0985411419875573e-08,40621690.4291,2.98020646872e-47,495.180488893,0.0, 
2171, ,4.291934260128778,1.3894954943731358e-08,64988965.6382,2.98020646872e-47,1267.42583455,0.0, 
2172, ,4.291934260128778,1.7575106248547933e-08,103973163.354,2.98020646872e-47,3243.98656158,0.0, 
2173, ,4.291934260128778,2.222996482526196e-08,166342371.998,2.98020646872e-47,8302.9318677,0.0, 
2174, ,4.291934260128778,2.8117686979742307e-08,266124294.28,2.98020646872e-47,21250.9036059,0.0, 
2175, ,4.291934260128778,3.5564803062231293e-08,425761272.704,2.98020646872e-47,54389.2323259,0.0, 
2176, ,4.291934260128778,4.498432668969443e-08,681157884.605,2.98020646872e-47,139197.623488,0.0, 
2177, ,4.291934260128778,5.689866029018303e-08,1089756381.11,2.98020646872e-47,356224.758686,0.0, 
2178, ,4.291934260128778,7.196856730011529e-08,1743456248.57,2.98020646872e-47,911535.98294,0.0, 
2179, ,4.291934260128778,9.102981779915227e-08,2789283681.53,2.98020646872e-47,2332144.53888,0.0, 
