Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0
205, ,0.017623754700471762,56743.26293504272, 
206, ,0.01767253781285461,33657.84955094237, 
207, ,0.017721455958440897,22628.59030950007, 
208, ,0.01777050951100681,16567.71349528815, 
209, ,0.017819698845363174,12917.22629949158, 
210, ,0.017869024337358284,10579.063937414376, 
211, ,0.017918486363880815,9021.28516007659, 
212, ,0.017968085302862667,7962.827262414715, 
213, ,0.018017821533281863,7245.89063879685, 
214, ,0.018067695435165492,6778.735702315148, 
215, ,0.01811770738959249,6508.112854053666, 
216, ,0.018167857778696724,6405.473653870711, 
217, ,0.018218146985669748,6460.322025127751, 
218, ,0.018268575394763842,6677.901010939478, 
219, ,0.01831914339129488,7080.3104770547825, 
220, ,0.018369851361645328,7711.483515113061, 
221, ,0.018420699693267158,8648.045009692585, 
222, ,0.018471688774684827,10021.01068503232, 
223, ,0.01852281899549824,12059.994648939248, 
224, ,0.01857409074638572,15189.039487575115, 
225, ,0.018625504419107004,20254.318909796333, 
226, ,0.01867706040650623,29136.879393769927, 
227, ,0.01872875910251495,46708.96303755386, 
228, ,0.01878060090215512,88837.85087693187, 
229, ,0.018832586201542125,230980.62942215896, 
230, ,0.01888471539788785,1222502.3736293174, 
231, ,0.0189369888895036,695571.2583809508, 
232, ,0.0189894070758033,170201.4716342585, 
233, ,0.01904197035730641,72595.70154977367, 
234, ,0.01909467913564106,40197.39494060045, 
235, ,0.019147533813547103,25839.987147151223, 
236, ,0.019200534794879168,18308.207997067464, 
237, ,0.01925368248460981,13904.881613763282, 
238, ,0.019306977288832496,11135.265478395946, 
239, ,0.01936041961476484,9304.84475962266, 
240, ,0.01941400987075161,8057.079984203665, 
241, ,0.019467748466267882,7195.170236574371, 
242, ,0.01952163581192219,6604.902359841459, 
243, ,0.01957567231945964,6218.237197469595, 
244, ,0.019629858401765045,5995.049695374178, 
245, ,0.01968419447286612,5913.731936006376, 
246, ,0.019738680947936616,5966.595802702396, 
247, ,0.019793318243299482,6158.313212381487, 
248, ,0.019848106776430084,6506.834649725913, 
249, ,0.01990304696595936,7047.109323305921, 
250, ,0.019958139231677042,7838.995290864077, 
251, ,0.02001338399453484,8982.652797002715, 
252, ,0.020068781676649675,10648.891421561197, 
253, ,0.02012433270130691,13142.273646828615, 
254, ,0.02018003749296356,17043.26484453531, 
255, ,0.02023589647725156,23564.824681439786, 
256, ,0.02029191008098103,35586.37773372018, 
257, ,0.02034807873214348,61328.06550220984, 
258, ,0.020404402859915103,132110.1580907162, 
259, ,0.02046088289466012,447692.832874136, 
260, ,0.020517519267933958,2619232.589696785, 
261, ,0.020574312412486653,331999.93747566413, 
262, ,0.020631262762266057,110257.7020628652, 
263, ,0.02068837075242122,53917.05954974629, 
264, ,0.02074563681930574,32163.808870616776, 
265, ,0.020803061400481,21650.96324674962, 
266, ,0.02086064493471957,15820.788498177742, 
267, ,0.020918387862008617,12278.765441725158, 
268, ,0.02097629062355313,9987.513667329378, 
269, ,0.021034353661779415,8440.395199877412, 
270, ,0.021092577420338408,7367.3543395856295, 
271, ,0.021150962344109108,6614.8747498870425, 
272, ,0.021209508879201904,6091.6965240663485, 
273, ,0.021268217472962092,5742.286782285597, 
274, ,0.021327088573973203,5533.143162324108, 
275, ,0.021386122632060457,5445.548352946213, 
276, ,0.02144532009829422,5471.88789004517, 
277, ,0.021504681424993424,5614.227227448862, 
278, ,0.021564207065729042,5884.678268252734, 
279, ,0.021623897475327523,6307.672416707763, 
280, ,0.021683753109874342,6924.9039745120335, 
281, ,0.02174377442671738,7804.7674348372275, 
282, ,0.0218039618844705,9060.275437921004, 
283, ,0.02186431594301701,10884.431725485532, 
284, ,0.02192483706351319,13624.72261193316, 
285, ,0.021985525708391827,17954.32517100441, 
286, ,0.02204638234136571,25313.73483513002, 
287, ,0.022107407427431256,39242.183086419245, 
288, ,0.022168601432871925,70390.04401250217, 
289, ,0.022229964825261943,163161.18711562504, 
290, ,0.02229149807346975,658798.4961926057, 
291, ,0.02235320164766164,1565096.2715809685, 
292, ,0.022415076019305345,254989.49175132226, 
293, ,0.022477121661173632,93334.5751171349, 
294, ,0.022539339047347912,47818.6557344263, 
